ichorcna_strat,feat,.metric,mean,median,sd,ci_95_lower,ci_95_upper,sem_lower,sem_upper
"[0, 0.03]",C/T,AUROC,0.7160223801021566,0.7098340696946414,0.01957740328278209,0.7105958007713992,0.721448959432914,0.7132537171783008,0.7187910430260124
"[0, 0.03]",C/T,AUPRC,0.8113524794847408,0.8086675508621847,0.01969974095030006,0.8058919898826191,0.8168129690868624,0.8085665154020256,0.8141384435674559
"[0, 0.03]",C/T,Sensitivity,0.6673759786482683,0.6697819314641744,0.027546195225906716,0.6597405628837384,0.6750113944127981,0.6634803583602428,0.6712715989362937
"[0, 0.03]",C/T,Specificity,0.6876202343532094,0.6893382352941176,0.04409252195616643,0.6753984108134792,0.6998420578929396,0.681384610098245,0.6938558586081738
"[0, 0.03]",C/T,F1,0.7186642328187722,0.7157219085917562,0.019579320045597214,0.7132371221884689,0.7240913434490756,0.7158952988237195,0.721433166813825
"[0, 0.03]",C/T,Accuracy,0.6750215082672402,0.6705202312138728,0.021004485360172406,0.6691993619661036,0.6808436545683767,0.6720510254605379,0.6779919910739425
"[0, 0.03]",S/L,AUROC,0.6389257017970376,0.6394233937592961,0.03278527601960124,0.6298380869263968,0.6480133166676784,0.634289163597731,0.6435622399963441
"[0, 0.03]",S/L,AUPRC,0.7707627627495983,0.7734637255177739,0.023651614338869552,0.7642068697306691,0.7773186557685275,0.7674179193725936,0.774107606126603
"[0, 0.03]",S/L,Sensitivity,0.6261471832630884,0.6232473602215682,0.08300764120131698,0.603138638997458,0.6491557275287188,0.6144081300663382,0.6378862364598386
"[0, 0.03]",S/L,Specificity,0.5353375206754445,0.5194805194805194,0.09191563149631114,0.5098598074748351,0.5608152338760539,0.5223386874098274,0.5483363539410616
"[0, 0.03]",S/L,F1,0.6537084011115579,0.648550991814763,0.04792021211275026,0.6404255959907551,0.6669912062323607,0.6469314597233933,0.6604853424997226
"[0, 0.03]",S/L,Accuracy,0.5919868261863154,0.5895953757225434,0.034666354213138836,0.5823778030422102,0.6015958493304205,0.5870842633576903,0.5968893890149405
"(0.03, 0.1]",All,AUROC,0.9654568536462754,0.9670570657412763,0.016801109192249336,0.9607998237756877,0.9701138835168631,0.9630808179980164,0.9678328892945345
"(0.03, 0.1]",All,AUPRC,0.9535495617096597,0.955850932640848,0.022042946397872916,0.9474395686945548,0.9596595547247645,0.9504322183346061,0.9566669050847132
"(0.03, 0.1]",All,Sensitivity,0.8433875638581521,0.8399715504978662,0.050539761656113895,0.8293786566490088,0.8573964710672953,0.8362401622208341,0.85053496549547
"(0.03, 0.1]",All,Specificity,0.9646410553774647,0.96875,0.019869118126669087,0.9591336168173475,0.9701484939375818,0.9618311377447518,0.9674509730101776
"(0.03, 0.1]",All,F1,0.8839338817487656,0.889010989010989,0.03286628974587642,0.8748238110188792,0.8930439524786521,0.8792858864784154,0.8885818770191158
"(0.03, 0.1]",All,Accuracy,0.9211531741409436,0.9207920792079208,0.021439157638803018,0.9152105428312082,0.9270958054506789,0.9181212193910786,0.9241851288908085
"(0.03, 0.1]",Length,AUROC,0.9073196084404631,0.9093783339260314,0.028126409094396954,0.8995233655968417,0.9151158512840846,0.903341933520248,0.9112972833606782
"(0.03, 0.1]",Length,AUPRC,0.8576096734237706,0.8535791804698951,0.04669245551915033,0.8446671850680564,0.8705521617794848,0.8510063630382021,0.8642129838093391
"(0.03, 0.1]",Length,Sensitivity,0.7249750715725948,0.7360681114551084,0.0725119634061306,0.7048757807642775,0.7450743623809121,0.7147203313642696,0.73522981178092
"(0.03, 0.1]",Length,Specificity,0.9131667710239905,0.9212549603174602,0.03513229764345158,0.9034285949502697,0.9229049470977112,0.9081983138435207,0.9181352282044603
"(0.03, 0.1]",Length,F1,0.7693258806037983,0.7639318885448916,0.051816479906770394,0.754963085150635,0.7836886760569615,0.7619979237399395,0.776653837467657
"(0.03, 0.1]",Length,Accuracy,0.8454785478547855,0.8423607066589012,0.03303030439824366,0.8363230145827212,0.8546340811268498,0.8408073574098547,0.8501497382997163
"(0.03, 0.1]",SD,AUROC,0.8873709252818331,0.8834604450276091,0.03018195767005289,0.879004913442145,0.8957369371215212,0.8831025518942373,0.891639298669429
"(0.03, 0.1]",SD,AUPRC,0.8520527886708229,0.8545719840766648,0.04343887572884686,0.8400121466215879,0.864093430720058,0.8459096039518255,0.8581959733898203
