ichorcna_strat,feat,.metric,mean,median,sd,ci_95_lower,ci_95_upper,sem_lower,sem_upper
"(0.03, 0.1]",TF,test_auroc,0.9832639048896198,0.9841022161917685,0.007694496236884947,0.9812745083371645,0.9854144333438085,0.9821757387962367,0.9843520709830029
"(0.03, 0.1]",TF,test_f1,0.8600659403710458,0.8648648648648649,0.03305929407763681,0.8513971374236315,0.8692469998319964,0.8553906501663383,0.8647412305757533
"(0.03, 0.1]",TF,test_f1_95spe,0.853480374471083,0.8722826086956521,0.0736263150117378,0.8334889358185934,0.8722411156399611,0.8430680411473677,0.8638927077947984
"(0.03, 0.1]",TF,test_f1_98spe,0.7242194095623807,0.7475490196078431,0.1642834953507142,0.6697403318697818,0.7630978682849258,0.700986214842477,0.7474526042822844
"(0.03, 0.1]",TF,test_f1_99spe,0.6926010308676191,0.7407407407407407,0.2170570732503591,0.6268639419121791,0.7456433086933444,0.6619045251876523,0.723297536547586
"(0.03, 0.1]",TF,test_ppv,0.9217315799235584,0.9209979209979211,0.0394130391867824,0.9112377224544274,0.9320765080578751,0.9161577344683294,0.9273054253787874
"(0.03, 0.1]",TF,test_sen_95spe,0.7957502021622416,0.8171701112877583,0.11918049007409681,0.7644805517278271,0.826633614574527,0.7788955356189355,0.8126048687055476
"(0.03, 0.1]",TF,test_sen_98spe,0.5875466718774918,0.6,0.15156833349197793,0.5443900904271523,0.6235298676856339,0.5661116725924275,0.6089816711625561
"(0.03, 0.1]",TF,test_sen_99spe,0.5605517652560996,0.5882352941176471,0.1893452132361127,0.5073096775955521,0.6113418992741748,0.5337743084032059,0.5873292221089933
"(0.03, 0.1]",TF,test_sensitivity,0.8079443284587722,0.8157894736842105,0.04744223855315947,0.7939564194717186,0.82135613845291,0.8012349827396504,0.8146536741778939
"(0.03, 0.1]",TF,test_specificity,0.9611884654215241,0.9612184976755567,0.020099490934677704,0.9561356491524187,0.9669020255355821,0.9583459681538625,0.9640309626891858
"(0.1, 1]",TF,test_acc,1,1,0,1,1,1,1
"(0.1, 1]",TF,test_acc_95spe,0.475,0.475,0,0.475,0.475,0.475,0.475
"(0.1, 1]",TF,test_acc_98spe,0.49,0.49,0,0.49,0.49,0.49,0.49
"(0.1, 1]",TF,test_acc_99spe,0.495,0.495,0,0.495,0.495,0.495,0.495
"(0.1, 1]",TF,test_auprc,1,1,1.0520552017986136e-16,1,1,1,1
"(0.1, 1]",TF,test_auroc,1,1,0,1,1,1,1
"(0.1, 1]",TF,test_f1,1,1,0,1,1,1,1
"(0.1, 1]",TF,test_f1_95spe,0,0,0,0,0,0,0
"(0.1, 1]",TF,test_f1_98spe,0,0,0,0,0,0,0
"(0.1, 1]",TF,test_f1_99spe,0,0,0,0,0,0,0
"(0.1, 1]",TF,test_ppv,1,1,0,1,1,1,1
"(0.1, 1]",TF,test_sen_95spe,0,0,0,0,0,0,0
"(0.1, 1]",TF,test_sen_98spe,0,0,0,0,0,0,0
"(0.1, 1]",TF,test_sen_99spe,0,0,0,0,0,0,0
"(0.1, 1]",TF,test_sensitivity,1,1,0,1,1,1,1
"(0.1, 1]",TF,test_specificity,1,1,0,1,1,1,1
all,TF,test_acc,0.5360393206433752,0.5362903225806451,0.01805348856377639,0.5310496583858184,0.5410131081987608,0.5334861718058712,0.5385924694808792
all,TF,test_acc_95spe,0.6466382250110246,0.6482578308776914,0.014802219380123282,0.642731552938907,0.6505048615514332,0.6445448750709654,0.6487315749510839
all,TF,test_acc_98spe,0.6528114392283537,0.6562687956863726,0.028838768852360426,0.6439779974718319,0.6597620924721693,0.6487330214250386,0.6568898570316688
all,TF,test_acc_99spe,0.6343759447801081,0.6580482941958352,0.06363979216168018,0.6167189673257378,0.6503769384817812,0.6253759190619428,0.6433759704982733
all,TF,test_auprc,0.8660942292827587,0.8655063083626966,0.012326197436162093,0.8626089639226916,0.8695442185854274,0.8643510417240878,0.8678374168414296
all,TF,test_auroc,0.6421717237440254,0.6380494254135558,0.02692243047457053,0.6348304571061849,0.649129313044353,0.638364317113107,0.6459791303749438
all,TF,test_f1,0.5520262108284798,0.552126660405206,0.026560144056732377,0.5444994193909565,0.5594218312570326,0.5482700392341184,0.5557823824228412
