ichorcna_strat,feat,.metric,mean,median,sd,ci_95_lower,ci_95_upper,sem_lower,sem_upper
"[0, 0.03]",cnv_ctRatio,test_acc,0.7154587810647164,0.7151162790697675,0.024828821092574713,0.7086369135636509,0.7220007479271121,0.7118371252871453,0.7190804368422875
"[0, 0.03]",cnv_ctRatio,test_acc_95spe,0.6012183143319774,0.5989161336176261,0.05014535297625559,0.5854947198504349,0.614927953371872,0.5939038628464369,0.6085327658175178
"[0, 0.03]",cnv_ctRatio,test_acc_98spe,0.5670523862619327,0.5640740740740741,0.04230882658432504,0.5554177264436826,0.5800756682348174,0.5608810096319242,0.5732237628919411
"[0, 0.03]",cnv_ctRatio,test_acc_99spe,0.5720523862619327,0.5690740740740741,0.04230882658432504,0.5605192449898313,0.5841031899040976,0.5658810096319242,0.5782237628919411
"[0, 0.03]",cnv_ctRatio,test_auprc,0.8558698901408086,0.8578411224191503,0.023298740585059787,0.8487816971147147,0.8628669597088585,0.8524714195434572,0.85926836073816
"[0, 0.03]",cnv_ctRatio,test_auroc,0.7818095849406981,0.7818052594171998,0.023199810192914852,0.7753704859829675,0.788510125542482,0.7784255448241558,0.7851936250572403
"[0, 0.03]",cnv_ctRatio,test_f1,0.7691550530675034,0.7699530516431925,0.020624740357929293,0.763282282332377,0.7751899334422792,0.7661466254905478,0.772163480644459
"[0, 0.03]",cnv_ctRatio,test_f1_95spe,0.4262886117811825,0.42758620689655175,0.12231003805865723,0.39028221441371574,0.4591170788619265,0.4084478591196493,0.44412936444271567
"[0, 0.03]",cnv_ctRatio,test_f1_98spe,0.2583260065435117,0.25806451612903225,0.1220636398235977,0.22314173947426724,0.29107660356795884,0.24052119475844053,0.27613081832858283
"[0, 0.03]",cnv_ctRatio,test_f1_99spe,0.2583260065435117,0.25806451612903225,0.1220636398235977,0.22295377866230429,0.29207615824319,0.24052119475844053,0.27613081832858283
"[0, 0.03]",cnv_ctRatio,test_ppv,0.7774766007636192,0.7788461538461539,0.026505784209334818,0.7702401982397756,0.7851067792596846,0.7736103347752796,0.7813428667519589
"[0, 0.03]",cnv_ctRatio,test_sen_95spe,0.28418857200047254,0.2767857142857143,0.10204428132794793,0.25632122728725487,0.3136367140489769,0.26930388377216263,0.29907326022878244
"[0, 0.03]",cnv_ctRatio,test_sen_98spe,0.15410477252386529,0.14814814814814814,0.08461765316865008,0.13002669368585013,0.17808146038128397,0.14176201926384835,0.16644752578388222
"[0, 0.03]",cnv_ctRatio,test_sen_99spe,0.15410477252386529,0.14814814814814814,0.08461765316865008,0.13013877928148768,0.17801640741671662,0.14176201926384835,0.16644752578388222
"[0, 0.03]",cnv_ctRatio,test_sensitivity,0.7619843750651325,0.7641509433962265,0.03027744434323345,0.7529409009422798,0.7703023222559419,0.7575679559034287,0.7664007942268363
"[0, 0.03]",cnv_ctRatio,test_specificity,0.6392927759769034,0.65,0.05179353518853219,0.6248602248904621,0.6532302811073747,0.6317379124069822,0.6468476395468246
"[0, 0.03]",cnv_sd,test_acc,0.7814408250937411,0.7848837209302325,0.02288635281913442,0.7754915511407675,0.7876026433431628,0.7781025074343603,0.784779142753122
"[0, 0.03]",cnv_sd,test_acc_95spe,0.680111625315966,0.6917381360777587,0.049778717018298446,0.6659727746135924,0.6932591750692272,0.6728506531813159,0.6873725974506162
"[0, 0.03]",cnv_sd,test_acc_98spe,0.6233429394547277,0.615,0.04576549332722835,0.6114233284918714,0.6361497229584245,0.6166673561596546,0.6300185227498009
"[0, 0.03]",cnv_sd,test_acc_99spe,0.6283429394547277,0.62,0.04576549332722835,0.6150447280097823,0.6418791357304322,0.6216673561596546,0.6350185227498009
"[0, 0.03]",cnv_sd,test_auprc,0.9097670409490615,0.9155658121800448,0.01913076536424664,0.9039368178262476,0.915259013192613,0.9069765320218575,0.9125575498762655
"[0, 0.03]",cnv_sd,test_auroc,0.858823279907912,0.8631020642201834,0.023410892086227073,0.852338859288531,0.8654955812418723,0.8554084503327963,0.8622381094830276
"[0, 0.03]",cnv_sd,test_f1,0.824172112537745,0.8229665071770335,0.020233832771404933,0.8184269987520576,0.8298376685350622,0.8212207046925742,0.8271235203829158
"[0, 0.03]",cnv_sd,test_f1_95spe,0.5974201410771324,0.625,0.10100514092070798,0.5695932644625757,0.6255104802345534,0.5826870270554897,0.612153255098775
"[0, 0.03]",cnv_sd,test_f1_98spe,0.41320857539310296,0.4,0.11188447320081119,0.3843549360130572,0.44281636144713804,0.39688854766092024,0.4295286031252857
"[0, 0.03]",cnv_sd,test_f1_99spe,0.41320857539310296,0.4,0.11188447320081119,0.3822482700519981,0.4444692375478467,0.39688854766092024,0.4295286031252857
"[0, 0.03]",cnv_sd,test_ppv,0.8253726477417013,0.8214285714285714,0.02136481235034046,0.8195010275954578,0.8312963697983524,0.8222562695698648,0.8284890259135378
"[0, 0.03]",cnv_sd,test_sen_95spe,0.4413479617391218,0.46296296296296297,0.09921905345209767,0.41422492705879765,0.46806633920021956,0.4268753753509024,0.45582054812734113
"[0, 0.03]",cnv_sd,test_sen_98spe,0.2666858789094555,0.25,0.0915309866544567,0.2412513122319409,0.2927414794484102,0.25333471231930926,0.28003704549960173
"[0, 0.03]",cnv_sd,test_sen_99spe,0.2666858789094555,0.25,0.0915309866544567,0.2415043092949282,0.2943298794231431,0.25333471231930926,0.28003704549960173
"[0, 0.03]",cnv_sd,test_sensitivity,0.8239174932341885,0.8148148148148148,0.03397170901373298,0.8155232712171179,0.8335232262330934,0.8189622101877314,0.8288727762806456
"[0, 0.03]",cnv_sd,test_specificity,0.7116565888206953,0.7121212121212122,0.03996888117780244,0.7003149299731577,0.7228761532568978,0.7058265283075148,0.7174866493338757
"[0, 0.03]",cnv_sd_length,test_acc,0.7948803602634763,0.7965116279069767,0.024165874950596966,0.7884509678720257,0.8015986859792983,0.7914627894533016,0.798297931073651
"[0, 0.03]",cnv_sd_length,test_acc_95spe,0.6772923767973502,0.6765433645026226,0.05977772187553234,0.6614707072093302,0.6939561436078231,0.6688385302969357,0.6857462232977647
"[0, 0.03]",cnv_sd_length,test_acc_98spe,0.624941890530514,0.6308481749250573,0.05024322559475998,0.611216415682511,0.6391535893990877,0.6178364254251659,0.632047355635862
"[0, 0.03]",cnv_sd_length,test_acc_99spe,0.629941890530514,0.6358481749250573,0.050243225594759994,0.6155510972262707,0.6432303171382656,0.6228364254251659,0.637047355635862
"[0, 0.03]",cnv_sd_length,test_auprc,0.9169356268545985,0.9132335982435253,0.01758817532667974,0.9123012016011018,0.9219553154414867,0.9144482832461599,0.9194229704630371
"[0, 0.03]",cnv_sd_length,test_auroc,0.8727215423553091,0.8705681345782725,0.02169578278673044,0.8671571220014391,0.8786999364990701,0.8696532953289796,0.8757897893816385
"[0, 0.03]",cnv_sd_length,test_f1,0.834542366370468,0.8352715682474049,0.02100836454747548,0.8285035421331224,0.8403414691850352,0.8315713349638362,0.8375133977770998
"[0, 0.03]",cnv_sd_length,test_f1_95spe,0.5893461996407289,0.5961372508732279,0.1153089241249919,0.5575420960188594,0.6217260993906788,0.5730390552047075,0.6056533440767502
"[0, 0.03]",cnv_sd_length,test_f1_98spe,0.4151509621013628,0.4395663374838987,0.12842823632602968,0.37997643094429373,0.4515117630307228,0.39698846674097,0.43331345746175565
"[0, 0.03]",cnv_sd_length,test_f1_99spe,0.4151509621013628,0.4395663374838987,0.12842823632602968,0.37929726284408044,0.45033582844460235,0.39698846674097,0.43331345746175565
"[0, 0.03]",cnv_sd_length,test_ppv,0.8375299067061973,0.8371007371007371,0.021075881179006738,0.8321095455913174,0.8431839701902746,0.8345493270059658,0.8405104864064288
"[0, 0.03]",cnv_sd_length,test_sen_95spe,0.4358806446653856,0.43254586362062997,0.12124021659338173,0.40288685254622963,0.4702855554937469,0.4187346888042444,0.4530266005265268
"[0, 0.03]",cnv_sd_length,test_sen_98spe,0.269883781061028,0.2816963498501146,0.10048645118951999,0.24399706315396585,0.29802063624795855,0.25567285085033187,0.28409471127172414
"[0, 0.03]",cnv_sd_length,test_sen_99spe,0.269883781061028,0.2816963498501146,0.10048645118951999,0.24047941553592433,0.29668182433238094,0.25567285085033187,0.28409471127172414
"[0, 0.03]",cnv_sd_length,test_sensitivity,0.8323146653787388,0.8357142857142857,0.032250311163808505,0.8233531717130711,0.8407932512722518,0.8277537826348778,0.8368755481225998
"[0, 0.03]",cnv_sd_length,test_specificity,0.7333423306723156,0.7368778280542987,0.03796710512687459,0.7240656769224276,0.7432355526264822,0.7279729711728685,0.7387116901717626
"[0, 0.03]",cnv_sd_length_ctRatio,test_acc,0.8077537583456558,0.8028968947439172,0.022426996506400256,0.8017743270264821,0.8140867073027289,0.8045167002281345,0.81099081646317706
"[0, 0.03]",cnv_sd_length_ctRatio,test_acc_95spe,0.6967573561998938,0.7008403663930824,0.06256098478951996,0.6801311687515483,0.7142709461705694,0.6877274558476444,0.7057872565521431
