file_fullname,n_reads_all,n_nucleotides_all,n_reads_good,n_nucleotides_good,n_reads_dup,n_nucleotides_dup,n_reads_unmapped,n_nucleotides_unmapped,n_reads_short,n_nucleotides_short,n_reads_long,n_nucleotides_long,chrM_count,short_lower,short_upper,long_lower,long_upper,depth,long_fraction,short_fraction,long_short_ratio
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10626P7_WGS.sorted_processed.bam,95126460,9512646000,75759738,7575973800,485448,48544800,18115410,1811541000,14658914,1465891400,55545984,5554598400,769,90,150,151,210,2.2957496363636363,0.7331860624966786,0.19349214222467348,3.789229133890819
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX10626P8_WGS.sorted_processed.bam,111361030,11136103000,89076340,8907634000,560017,56001700,20832754,2083275400,15548372,1554837200,66239211,6623921100,1128,90,150,151,210,2.69928303030303,0.7436229530759796,0.1745510873033176,4.260202354304361
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13669P1_WGS.sorted_processed.bam,71711654,7171165400,59786017,5978601700,315282,31528200,11111935,1111193500,14012676,1401267600,29059673,2905967300,3858,90,150,151,210,1.8116974848484848,0.48606136448260134,0.23438049067560396,2.0738132388132002
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13674P1_WGS.sorted_processed.bam,89839618,8983961800,72892136,7289213600,709211,70921100,15525238,1552523800,12606913,1260691300,53071184,5307118400,689,90,150,151,210,2.208852606060606,0.7280783210962565,0.172952991801475,4.20968908090347
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13676P1_WGS.sorted_processed.bam,96830354,9683035400,80141187,8014118700,618760,61876000,15341204,1534120400,10908811,1090881100,61961213,6196121300,2670,90,150,151,210,2.428520818181818,0.7731506771917416,0.136119907981897,5.67992359570626
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13678P1_WGS.sorted_processed.bam,86840866,8684086600,70689938,7068993800,577738,57773800,14864042,1486404200,8554945,855494500,55066206,5506620600,644,90,150,151,210,2.1421193333333335,0.7789822364818031,0.12102068896990686,6.436769143460303
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13680P1_WGS.sorted_processed.bam,85681946,8568194600,71003549,7100354900,514259,51425900,13505341,1350534100,8612778,861277800,53828198,5382819800,452,90,150,151,210,2.1516226969696968,0.75810573919340285,0.12130066906937285,6.249806740635832
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13681P1_WGS.sorted_processed.bam,93516996,9351699600,77717897,7771789700,505107,50510700,14580684,1458068400,11619082,1161908200,57768716,5776871600,1692,90,150,151,210,2.3550877878787877,0.7433129077077317,0.14950329909209972,4.971882976641356
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13686P1_WGS.sorted_processed.bam,84098764,8409876400,70695724,7069572400,471210,47121000,12326105,1232610500,10618832,1061883200,53177955,5317795500,1173,90,150,151,210,2.1422946666666665,0.7522089313350833,0.1502047280822812,5.0078911691982695
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13687P1_WGS.sorted_processed.bam,105737630,10573763000,87631907,8763190700,559011,55901100,16707296,1670729600,18110267,1811026700,64794009,6479400900,629,90,150,151,210,2.6555123333333333,0.7393883257613006,0.20666293385581577,3.577750068510862
