model_name,ichorcna_strat,feat,.metric,mean,median,sd,ci_95_lower,ci_95_upper,sem_lower,sem_upper
resnet18,"[0, 0.03]",C3,Specificity,0.7575988057501782,0.7674278846153846,0.06601824395917139,0.7386574994161905,0.7745773552434203,0.7482624161530667,0.7669351953472898
resnet18,"[0, 0.03]",C3,F1,0.8615229165819563,0.8643573150615405,0.02788179371711855,0.8539664387736589,0.8692017402238915,0.8575798355001526,0.8654659976637601
resnet18,"[0, 0.03]",C3,Accuracy,0.8263704799032128,0.8260854953622798,0.03481083777257128,0.8165027725500739,0.8355704899852131,0.8214474840136587,0.8312934757927668
resnet18,"[0, 0.03]",C3,Sensitivity at 99% Specificity,0.30093118028288557,0.2777158535539741,0.16741700478207427,0.256615876017945,0.34785201335114035,0.2772548404094165,0.32460752015635463
resnet18,"[0, 0.03]",C3,Sensitivity at 95% Specificity,0.5377507379163944,0.5257936507936508,0.11171472217893534,0.507186465567136,0.566639954131882,0.5219518903941751,0.5535495854386137
resnet18,"[0, 0.03]",C3,Accuracy at 99% Specificity,0.6454655901414428,0.633857926776987,0.08370850239103714,0.6217423447864245,0.669443953269384,0.6336274202047082,0.6573037600781774
resnet18,"[0, 0.03]",C3,Accuracy at 95% Specificity,0.7287971866282316,0.7234995808503271,0.05575297354527104,0.7133102664932122,0.743928168253594,0.7209125254951965,0.7366818477612667
resnet18,"[0, 0.03]",C3,F1 at 99% Specificity,0.4377824938498901,0.4346638655462185,0.19901566861391032,0.3815694780803303,0.48983560595141545,0.40963742808203596,0.46592755961774424
resnet18,"[0, 0.03]",C3,F1 at 95% Specificity,0.6839466649755558,0.6808235381089673,0.09742503281343284,0.6558387823134199,0.7092197648317838,0.6701686847036157,0.6977246452474959
resnet18,"[0, 0.03]",C4,AUROC,0.9040137677475841,0.9091241313203929,0.02246495019886306,0.8975180256159319,0.9101118272228348,0.9008367440226573,0.9071907914725109
resnet18,"[0, 0.03]",C4,AUPRC,0.9388764721155713,0.9428746573102456,0.01936849401724677,0.933637486685324,0.9437057831138645,0.9361373534233781,0.9416155908077646
resnet18,"[0, 0.03]",C4,Sensitivity,0.8656596477240807,0.8666666666666667,0.035032406986761244,0.8559123201467358,0.8758324780550861,0.8607053172157555,0.8706139782324058
resnet18,"[0, 0.03]",C4,Specificity,0.7781122851988389,0.78125,0.05439631497109934,0.7634481560811087,0.7926769030061531,0.7704194845613141,0.7858050858363637
resnet18,"[0, 0.03]",C4,F1,0.8653305603695923,0.8644830221639916,0.024160350694120154,0.8592617627909546,0.8719545048285613,0.8619137708072608,0.8687473499319238
resnet18,"[0, 0.03]",C4,Accuracy,0.8325265492673747,0.8313953488372093,0.028982673614544034,0.8246355861002822,0.8405345980642559,0.8284277802574226,0.8366253182773268
